ALT,SPEED,HEAD
28860.0,349.0,129.0
28860.0,349.0,129.0
28860.0,349.0,129.0
28860.0,349.0,129.0
28860.0,349.0,129.0
28860.0,349.0,129.0
28870.0,350.0,129.0
28870.0,350.0,129.0
28870.0,350.0,129.0
28880.0,350.0,129.0
28880.0,350.0,129.0
28880.0,350.0,129.0
28890.0,350.0,129.0
28890.0,350.0,129.0
28890.0,350.0,129.0
28890.0,350.0,129.0
28890.0,350.0,129.0
28890.0,350.0,129.0
28900.0,350.0,129.0
28900.0,350.0,129.0
28900.0,350.0,129.0
28900.0,350.0,129.0
28900.0,350.0,129.0
28900.0,350.0,129.0
28910.0,350.0,129.0
28910.0,350.0,129.0
28910.0,350.0,129.0
28910.0,350.0,129.0
28910.0,350.0,129.0
28910.0,350.0,129.0
28920.0,350.0,129.0
28920.0,350.0,129.0
28920.0,350.0,129.0
28920.0,350.0,129.0
28920.0,350.0,129.0
28920.0,350.0,129.0
28930.0,350.0,129.0
28930.0,350.0,129.0
28930.0,350.0,129.0
28940.0,350.0,129.0
28940.0,350.0,129.0
28940.0,350.0,129.0
28940.0,350.0,129.0
28940.0,350.0,129.0
28940.0,350.0,129.0
28950.0,351.0,129.0
28950.0,351.0,129.0
28950.0,351.0,129.0
28950.0,351.0,129.0
28950.0,351.0,129.0
28950.0,351.0,129.0
28960.0,351.0,129.0
28960.0,351.0,129.0
28960.0,351.0,129.0
28960.0,351.0,129.0
28960.0,351.0,129.0
28960.0,351.0,129.0
28970.0,351.0,129.0
28970.0,351.0,129.0
28970.0,351.0,129.0
28970.0,351.0,129.0
28970.0,351.0,129.0
28970.0,351.0,129.0
28980.0,351.0,129.0
28980.0,351.0,129.0
28980.0,351.0,129.0
28980.0,351.0,129.0
28980.0,351.0,129.0
28980.0,351.0,129.0
28980.0,351.0,129.0
28980.0,351.0,129.0
28980.0,351.0,129.0
28990.0,352.0,129.0
28990.0,352.0,129.0
28990.0,352.0,129.0
28990.0,352.0,129.0
28990.0,352.0,129.0
28990.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29000.0,352.0,129.0
29010.0,352.0,129.0
29010.0,352.0,129.0
29010.0,352.0,129.0
29010.0,352.0,129.0
29010.0,352.0,129.0
29010.0,352.0,129.0
29010.0,352.0,129.0
29010.0,352.0,129.0
29010.0,352.0,129.0
29020.0,352.0,129.0
29020.0,352.0,129.0
29020.0,352.0,129.0
29020.0,352.0,129.0
29020.0,352.0,129.0
29020.0,352.0,129.0
29020.0,353.0,129.0
29020.0,353.0,129.0
29020.0,353.0,129.0
29020.0,353.0,129.0
29020.0,353.0,129.0
29020.0,353.0,129.0
29030.0,353.0,129.0
29030.0,353.0,129.0
29030.0,353.0,129.0
29030.0,353.0,129.0
29030.0,353.0,129.0
29030.0,353.0,129.0
29040.0,353.0,129.0
29040.0,353.0,129.0
29040.0,353.0,129.0
29040.0,353.0,129.0
29040.0,353.0,129.0
29040.0,353.0,129.0
29040.0,353.0,129.0
29040.0,353.0,129.0
