Nor_Vel,East_Vel,Down_Vel,LAT,Long,Nx_Accel,Ny_Accel,Nz_Accel,Nor_Accel,Mag_Head,Roll,Pitch,True_Head,Gnd_Track,Roll_Rate,Pitch_Rate,Yaw_Rate,TAS,CAS,Gnd_Speed,MACH,True_AOA,Indi_AOA,Corr_Alt,SYS_Alt,BARO_Alt,RALT_Alt,Wind_Mag,Wind_Dir,MS_Mode,AC_Mode,FOM,Fuel,UTC
-314,601,-81,-0.172503,-0.280994,-0.0762,-1.038225,5.8293,-0.579052,129,-177.280884,5.74585,115.147705,131,1.208496,0.527344,-0.703125,531,349,678,0.886719,-2,-8,28828,29040,28843,,146,320,2,12,1,3483,54819276
-314,601,-80,-0.172504,-0.280992,-0.20955,-0.93345,5.88645,-0.586098,129,-177.198486,5.690918,115.213623,131,0.263672,0.461426,-0.703125,531,349,679,0.886719,-2,-8,28830,29048,28845,,146,320,2,12,1,3483,54819368
-314,602,-76,-0.172504,-0.28099,-0.352425,-0.904875,6.105525,-0.608857,129,-177.324829,5.641479,115.285034,131,-2.548828,0.461426,-0.769043,531,349,679,0.886719,-2,-9,28840,29056,28853,,146,320,2,12,1,3483,54819476
-314,602,-75,-0.172505,-0.280988,-0.40005,-0.752475,6.11505,-0.611805,129,-177.764282,5.592041,115.367432,131,-5.976563,0.41748,-0.834961,531,349,679,0.886719,-2,-9,28843,29064,28855,,146,320,2,12,1,3483,54819572
-314,602,-72,-0.172506,-0.280986,-0.390525,-0.81915,6.15315,-0.615343,129,-178.511353,5.548096,115.449829,131,-8.547363,0.41748,-0.834961,531,349,679,0.886719,-2,-9,28848,29068,28860,,146,320,2,12,1,3483,54819676
-314,602,-71,-0.172507,-0.280985,-0.13335,-0.89535,6.143625,-0.614832,129,-179.406738,5.498657,115.52124,131,-9.030762,0.505371,-0.637207,531,349,679,0.886719,-2,-9,28853,29076,28865,,146,320,2,12,1,3482,54819768
-315,602,-67,-0.172508,-0.280983,-0.161925,-0.9906,6.067425,-0.606684,129,179.846191,5.443726,115.565186,131,-6.437988,0.637207,-0.307617,531,349,679,0.886719,-2,-9,28860,29084,28873,,146,320,2,12,1,3483,54819876
-315,602,-66,-0.172509,-0.280981,-0.066675,-0.942975,6.096,-0.610828,129,179.390259,5.383301,115.576172,131,-3.383789,0.637207,0.021973,532,349,680,0.886719,-2,-9,28863,29088,28878,,146,320,2,12,1,3487,54819968
-315,603,-63,-0.172509,-0.280979,-0.161925,-0.9525,6.181725,-0.619184,129,179.214478,5.322876,115.559692,131,-0.703125,0.681152,0.197754,532,350,680,0.886719,-2,-9,28870,29096,28883,,146,320,2,12,1,3489,54820080
-315,603,-62,-0.17251,-0.280977,-0.123825,-1.000125,6.2865,-0.629806,129,179.263916,5.256958,115.532227,131,1.40625,0.65918,0.285645,532,350,680,0.888672,-2,-9,28875,29100,28888,,146,320,2,12,1,3492,54820168
-315,603,-58,-0.172511,-0.280976,-0.09525,-0.93345,6.2103,-0.622814,129,179.505615,5.185547,115.504761,131,3.208008,0.65918,0.351563,532,350,680,0.888672,-2,-9,28885,29108,28898,,146,320,2,12,1,3495,54820276
-315,603,-57,-0.172512,-0.280974,-0.123825,-0.981075,6.49605,-0.651304,129,179.912109,5.114136,115.466309,131,4.746094,0.74707,0.351563,532,350,680,0.888672,-2,-9,28888,29112,28900,,146,320,2,12,1,3497,54820368
-315,603,-54,-0.172513,-0.280972,-0.180975,-0.9144,6.34365,-0.636065,129,-179.533081,5.042725,115.427856,131,5.932617,0.769043,0.373535,532,350,680,0.888672,-2,-9,28898,29120,28913,,146,320,2,12,1,3499,54820476
-315,604,-54,-0.172513,-0.28097,-0.257175,-0.8382,6.53415,-0.655775,129,-178.917847,4.96582,115.389404,131,6.240234,0.725098,0.32959,532,350,681,0.888672,-2,-9,28900,29124,28913,,146,320,2,12,1,3501,54820572
-315,604,-51,-0.172514,-0.280968,-0.333375,-0.847725,6.3627,-0.638064,129,-178.335571,4.899902,115.356445,131,5.712891,0.681152,0.263672,532,350,681,0.888672,-2,-9,28908,29132,28920,,146,320,2,12,1,3503,54820676
-315,604,-50,-0.172515,-0.280966,-0.2667,-0.89535,6.477,-0.649171,129,-177.824707,4.828491,115.328979,131,4.790039,0.725098,0.241699,532,350,681,0.888672,-2,-9,28913,29136,28925,,146,320,2,12,1,3504,54820768
-315,604,-48,-0.172516,-0.280965,-0.381,-0.85725,6.581775,-0.660088,129,-177.390747,4.762573,115.301514,131,4.108887,0.725098,0.219727,533,350,681,0.890625,-2,-9,28920,29140,28933,,146,320,2,12,1,3505,54820876
-315,604,-47,-0.172517,-0.280963,-0.428625,-0.78105,6.5151,-0.654078,129,-177.028198,4.696655,115.279541,131,3.47168,0.637207,0.175781,533,350,681,0.890625,-2,-9,28923,29148,28938,,146,320,2,12,1,3507,54820968
-315,604,-45,-0.172517,-0.280961,-0.428625,-0.78105,6.53415,-0.655978,129,-176.704102,4.641724,115.257568,131,3.120117,0.65918,0.153809,533,350,681,0.890625,-2,-9,28930,29152,28943,,146,320,2,12,1,3508,54821076
-315,605,-44,-0.172518,-0.280959,-0.43815,-0.8763,6.5532,-0.656968,129,-176.44043,4.581299,115.241089,131,2.548828,0.681152,0.109863,533,350,682,0.890625,-2,-9,28938,29156,28950,,146,320,2,12,1,3509,54821168
-315,605,-42,-0.172519,-0.280957,-0.428625,-0.752475,6.677025,-0.670783,129,-176.226196,4.515381,115.230103,131,1.955566,0.615234,0.087891,533,351,682,0.890625,-2,-9,28945,29160,28958,,146,320,2,12,1,3510,54821276
-315,605,-42,-0.17252,-0.280956,-0.466725,-0.81915,6.600825,-0.662553,129,-176.077881,4.449463,115.213623,131,1.318359,0.615234,0.043945,533,351,682,0.890625,-2,-9,28948,29168,28960,,146,320,2,12,1,3511,54821368
